VHI
44.88
46.97
49.07
48.21
45.25
41.92
39.24
39.97
41.74
42.32
41.01
42.47
43.16
42.09
41.62
43.11
48.01
52.06
54.65
56.82
58.47
61.03
62.01
61.8
63.25
63.54
61.62
61.87
62.15
61.61
61.06
60.5
60.75
62.09
62.17
61.14
60.83
59.52
57.4
57.05
56.0
53.39
50.79
47.95
48.01
45.75
45.48
48.07
52.02
51.7
51.04
52.03
